date,track,venue,state
2023-03-22,Sandown-Hillside,Sandown,VIC
2023-03-22,Strathalbyn,Strathalbyn,SA
2023-03-23,Ipswich,Ipswich,QLD
2023-03-23,Pakenham,Pakenham,VIC
2023-03-23,Warrnambool,Warrnambool,VIC
2023-03-24,Geelong,Geelong,VIC
2023-03-24,Moonee Valley,Moonee Valley,VIC
2023-03-24,Sunshine Coast,Sunshine Coast,QLD
2023-03-24,Townsville,Townsville,QLD
2023-03-25,Avoca,Avoca,VIC
2023-03-25,Cloncurry,Cloncurry,QLD
2023-03-25,Eagle Farm,Eagle Farm,QLD
2023-03-25,Flemington,Flemington,VIC
2023-03-25,Gold Coast Poly,Gold Coast,QLD
2023-03-25,Healesville,Healesville,VIC
2023-03-25,Monto,Monto,QLD
2023-03-25,Morphettville Parks,Morphettville,SA
2023-03-25,Streaky Bay,Streaky Bay,SA
2023-03-26,Bairnsdale,Bairnsdale,VIC
2023-03-26,Cairns,Cairns,QLD
2023-03-26,Donald,Donald,VIC
2023-03-26,Murray Bridge GH,Murray Bridge GH,SA
2023-03-26,Sunshine Coast,Sunshine Coast,QLD
2023-03-28,Ballarat,Ballarat,VIC
2023-03-28,Mackay,Mackay,QLD
2023-03-29,Balaklava,Balaklava,SA
2023-03-29,Eagle Farm,Eagle Farm,QLD
2023-03-29,Sandown-Hillside,Sandown,VIC
2023-03-30,Kilmore,Kilmore,VIC
2023-03-30,Pakenham,Pakenham,VIC
2023-03-31,Benalla,Benalla,VIC
2023-03-31,Cranbourne,Cranbourne,VIC
2023-03-31,Ipswich,Ipswich,QLD
2023-03-31,Mt Gambier,Mt Gambier,SA
2023-03-31,Rockhampton,Rockhampton,QLD
2023-04-01,Ararat,Ararat,VIC
2023-04-01,Bendigo,Bendigo,VIC
2023-04-01,Doomben,Doomben,QLD
2023-04-01,Gold Coast Poly,Gold Coast,QLD
2023-04-01,Home Hill,Home Hill,QLD
2023-04-01,Morphettville,Morphettville,SA
2023-04-01,Noorama,Noorama,QLD
2023-04-01,Rockhampton,Rockhampton,QLD
2023-04-01,Toowoomba,Toowoomba,QLD
2023-04-01,Woolamai,Woolamai,VIC
2023-04-02,Gawler,Gawler,SA
